7zip 25.01-1
vlc-plugin-archive 3.0.21-31
vlc-plugin-aribb24 3.0.21-31
vlc-plugin-aribb25 3.0.21-31
vlc-plugin-ass 3.0.21-31
vlc-plugin-avahi 3.0.21-31
vlc-plugin-bluray 3.0.21-31
vlc-plugin-caca 3.0.21-31
vlc-plugin-cddb 3.0.21-31
vlc-plugin-chromecast 3.0.21-31
vlc-plugin-dav1d 3.0.21-31
vlc-plugin-dbus 3.0.21-31
vlc-plugin-dbus-screensaver 3.0.21-31
vlc-plugin-dca 3.0.21-31
vlc-plugin-dvb 3.0.21-31
vlc-plugin-dvd 3.0.21-31
vlc-plugin-faad2 3.0.21-31
vlc-plugin-ffmpeg 3.0.21-31
vlc-plugin-firewire 3.0.21-31
vlc-plugin-flac 3.0.21-31
vlc-plugin-fluidsynth 3.0.21-31
vlc-plugin-freetype 3.0.21-31
vlc-plugin-gme 3.0.21-31
vlc-plugin-gnutls 3.0.21-31
vlc-plugin-gstreamer 3.0.21-31
vlc-plugin-inflate 3.0.21-31
vlc-plugin-jack 3.0.21-31
vlc-plugin-journal 3.0.21-31
vlc-plugin-jpeg 3.0.21-31
vlc-plugin-kate 3.0.21-31
vlc-plugin-kwallet 3.0.21-31
vlc-plugin-libsecret 3.0.21-31
vlc-plugin-lirc 3.0.21-31
vlc-plugin-live555 3.0.21-31
vlc-plugin-lua 3.0.21-31
vlc-plugin-mad 3.0.21-31
vlc-plugin-matroska 3.0.21-31
vlc-plugin-mdns 3.0.21-31
vlc-plugin-modplug 3.0.21-31
vlc-plugin-mpeg2 3.0.21-31
vlc-plugin-mpg123 3.0.21-31
vlc-plugin-mtp 3.0.21-31
vlc-plugin-musepack 3.0.21-31
vlc-plugin-nfs 3.0.21-31
vlc-plugin-notify 3.0.21-31
vlc-plugin-ogg 3.0.21-31
vlc-plugin-opus 3.0.21-31
vlc-plugin-png 3.0.21-31
vlc-plugin-pulse 3.0.21-31
vlc-plugin-quicksync 3.0.21-31
vlc-plugin-samplerate 3.0.21-31
vlc-plugin-sdl 3.0.21-31
